RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
Acworth,GA,Atlanta,Cobb,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,214990,199900,215000,223461,224900,217950,225000,220000,219900,229900,234900,228700,203465,214900,219900,224900,220990,229999,230000,230500,241445,239650,235495,248990,240995,249900,250000,243900,245000,243500,239250,245000,244950,235000,249000,245000,239900,246202.5,240838,250960,264174.5,265990,265000,260000,265385,279900
Adairsville,GA,Atlanta,Bartow,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119900,119900,124900,132250,135000,125450,116750,131000,126875,129900,139700,133900,139500,135450,139500,128900,129900,125000,124900,126950,131450,129900,133950,137500,134900,139850,135000,139950,139900,149900,139900,149900,149900,159000,159000,146200,155450,149900,149900,154450,159450,159900,159900,159900,162500,162500,169900,187278,187656,191380,190640
Alpharetta,GA,Atlanta,Fulton,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329900,319000,315000,328900,345000,350000,349900,349900,339900,339900,329500,335000,345000,349900,339900,350000,359900,373400,390000,404900,4.00E+05,384967.5,384750,392900,395000,449690,435000,429900,429900,429900,439900,439900,453349,445000,449000,450000,475000,497980,477450,459200,459900,474900,459900,474900,475000,475000,475000,469900,468630,468385,480000,489900,482010,478310,489000,491490,499000,503530
Atlanta,GA,Atlanta,Fulton,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,179900,179000,189900,2.00E+05,222200,215000,220000,219000,213775,204900,2.00E+05,195000,189500,191250,199949.5,210000,219700,225000,234900,225000,234900,239900,244900,239900,235000,244999.5,245000,259000,270000,275000,269000,269000,259900,269000,275000,275000,260000,260000,279900,309900,330000,330000,335000,329900,320000,329950
Auburn,GA,Atlanta,Barrow,3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264220,296900,296900,309800,320900,329900,332213,334832,332213,325000,329500,328557,313850,321700,324900,318500,329950,334243,329900,319950,309990,304900,310900,314950,329925,326950,319925,318928,318704,326950
Austell,GA,Atlanta,Cobb,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,109900,109900,109900,115000,113900,113000,116000,110000,121000,118450,115000,109900,99900,109900,119500,115000,115000,115000,119450,115000,120000,119950,126000,128799,127950,127950,121450,125000,129000,130000,148000,148000,145000,145500,149200,149900,145000,149387.5,155000,155500,154825,159800,155000,155000,155450,152000
Belvedere Park,GA,Atlanta,Dekalb,2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,130500,133000,129999.5,139900,150000,151450,159900,167000,171921,172211,171960.5,174285.5
Bethlehem,GA,Atlanta,Barrow,6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146900,139900,139900,138950,144900,144900,129950,134900,139900,142900,145350,149000,139900,146900,153000,150000,153000,155000,155000,157900,158900,159900,159900,164950,177900,175000,175000,161200,159950,164900,179900,184900,184000,185000,181990,184000,183995,184900,184900,183990,184990
Braselton,GA,Atlanta,Gwinnett,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396950,341600,343300,335000,316000,346900,374900,349900,335000,329900,316745,344990,339995,342450,345990,350990,359900,362060,387450,419900,460000,419900,449800,447400,459800,472400,449950,456950,449900,420000,427449.5
Brookhaven,GA,Atlanta,Dekalb,1220,325000,329000,325000,325000,335000,324925,324000,325000,324900,315000,299949.5,299900,299900,299900,299949.5,312500,299999,299900,307950,305000,299900,279450,276900,287250,299900,299900,299900,304900,322450,325000,325000,310000,314900,325000,350000,350000,350000,359900,365000,375000,384900,389000,385000,379450,389000,389949.5,399500,391000,385000,399900,419950,429500,424900,427900,419900,429900,432975,424950,424500,439000,425000,425000,429900,450000,470000,470000,470000,450000,469000,489900,499950,549900,581000,565000,542222.5,550000,550000,537450,540000,535000,539000,539000,535000,525000,523800,519900,517450,515000,525000,534864,550000,529000,525000
