Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Region,TotalWages,Notes
30701,STANDARD,CALHOUN,GA,PRIMARY,34.49,-84.94,Calhoun,476924581,
30703,PO BOX,CALHOUN,GA,PRIMARY,34.49,-84.94,Calhoun,34466609,
30705,STANDARD,CHATSWORTH,GA,PRIMARY,34.77,-84.77,Chatsworth,380152185,
30707,STANDARD,CHICKAMAUGA,GA,PRIMARY,34.87,-85.29,Chickamauga,205916459,
30708,STANDARD,CISCO,GA,PRIMARY,34.95,-84.73,Cisco,,
30710,STANDARD,COHUTTA,GA,PRIMARY,34.95,-84.95,Cohutta,99678926,
30711,STANDARD,CRANDALL,GA,PRIMARY,34.93,-84.76,Crandall,39044255,
30719,PO BOX,DALTON,GA,PRIMARY,34.76,-84.97,Dalton,17826014,
30720,STANDARD,DALTON,GA,PRIMARY,34.76,-84.97,Dalton,370468823,
30721,STANDARD,DALTON,GA,PRIMARY,34.76,-84.97,Dalton,534687864,
30722,PO BOX,DALTON,GA,PRIMARY,34.76,-84.97,Dalton,33156912,
30724,PO BOX,ETON,GA,PRIMARY,34.82,-84.76,Eton,10378379,
30725,STANDARD,FLINTSTONE,GA,PRIMARY,34.92,-85.35,Flintstone,67661917,
30726,PO BOX,GRAYSVILLE,GA,PRIMARY,34.89,-85.12,Graysville,,
30728,STANDARD,LA FAYETTE,GA,PRIMARY,34.70,-85.28,La Fayette,205360172,
30730,STANDARD,LYERLY,GA,PRIMARY,34.40,-85.40,Lyerly,21031198,
30731,STANDARD,MENLO,GA,PRIMARY,34.48,-85.47,Menlo,26769530,
30732,PO BOX,OAKMAN,GA,PRIMARY,34.56,-84.71,Oakman,,
30733,STANDARD,PLAINVILLE,GA,PRIMARY,34.40,-85.03,Plainville,23478174,
30734,STANDARD,RANGER,GA,PRIMARY,34.50,-84.71,Ranger,34982099,
30735,STANDARD,RESACA,GA,PRIMARY,34.58,-84.94,Resaca,72135699,
30736,STANDARD,RINGGOLD,GA,PRIMARY,34.91,-85.10,Ringgold,656078688,
30738,STANDARD,RISING FAWN,GA,PRIMARY,34.81,-85.50,Rising Fawn,46845711,
30739,STANDARD,ROCK SPRING,GA,PRIMARY,34.81,-85.24,Rock Spring,77456377,
30740,STANDARD,ROCKY FACE,GA,PRIMARY,34.75,-85.08,Rocky Face,152639308,
30741,STANDARD,ROSSVILLE,GA,PRIMARY,34.97,-85.28,Rossville,298128854,
30742,STANDARD,FORT OGLETHORPE,GA,PRIMARY,34.92,-85.25,Fort Oglethorpe,78485719,
30746,STANDARD,SUGAR VALLEY,GA,PRIMARY,34.55,-85.03,Sugar Valley,21124471,
30747,STANDARD,SUMMERVILLE,GA,PRIMARY,34.47,-85.34,Summerville,156145478,
30751,PO BOX,TENNGA,GA,PRIMARY,34.98,-84.72,Tennga,,
30752,STANDARD,TRENTON,GA,PRIMARY,34.87,-85.50,Trenton,117344985,
30753,STANDARD,TRION,GA,PRIMARY,34.54,-85.31,Trion,72299993,
30755,STANDARD,TUNNEL HILL,GA,PRIMARY,34.84,-85.04,Tunnel Hill,114025326,
30756,PO BOX,VARNELL,GA,PRIMARY,34.90,-84.97,Varnell,,
30757,STANDARD,WILDWOOD,GA,PRIMARY,34.96,-85.41,Wildwood,19741513,
30750,STANDARD,LOOKOUT MOUNTAIN,GA,PRIMARY,34.96,-85.36,Lookout Mountain,62654704,
31001,STANDARD,ABBEVILLE,GA,PRIMARY,31.99,-83.30,Abbeville,23013409,
31620,STANDARD,ADEL,GA,PRIMARY,31.13,-83.42,Adel,108728284,
31002,STANDARD,ADRIAN,GA,PRIMARY,32.52,-82.59,Adrian,27756271,
30410,STANDARD,AILEY,GA,PRIMARY,32.18,-82.57,Ailey,18863859,
30411,STANDARD,ALAMO,GA,PRIMARY,32.14,-82.77,Alamo,24386105,
31622,STANDARD,ALAPAHA,GA,PRIMARY,31.38,-83.22,Alapaha,21148432,
31701,STANDARD,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,169489087,
31702,PO BOX,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,7837820,
31703,PO BOX,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,9773712,
31704,UNIQUE,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,,
31705,STANDARD,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,290849916,
31706,PO BOX,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,15268954,
31707,STANDARD,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,305001041,
31708,PO BOX,ALBANY,GA,PRIMARY,31.57,-84.17,Albany,18383090,
31721,STANDARD,ALBANY,GA,PRIMARY,31.52,-84.30,Albany,396927146,
31301,STANDARD,ALLENHURST,GA,PRIMARY,31.78,-81.60,Allenhurst,43253409,
31003,PO BOX,ALLENTOWN,GA,PRIMARY,32.59,-83.22,Allentown,,
31510,STANDARD,ALMA,GA,PRIMARY,31.54,-82.47,Alma,103728705,
30412,PO BOX,ALSTON,GA,PRIMARY,32.08,-82.47,Alston,,
31512,STANDARD,AMBROSE,GA,PRIMARY,31.59,-83.01,Ambrose,21645864,
31709,STANDARD,AMERICUS,GA,PRIMARY,32.07,-84.22,Americus,193059943,
31719,STANDARD,AMERICUS,GA,PRIMARY,32.06,-84.26,Americus,82684319,
31711,STANDARD,ANDERSONVILLE,GA,PRIMARY,32.19,-84.14,Andersonville,9774218,
30802,STANDARD,APPLING,GA,PRIMARY,33.60,-82.31,Appling,105667081,
31712,STANDARD,ARABI,GA,PRIMARY,31.83,-83.73,Arabi,12695028,
31623,PO BOX,ARGYLE,GA,PRIMARY,31.07,-82.64,Argyle,,
39813,STANDARD,ARLINGTON,GA,PRIMARY,31.41,-84.69,Arlington,20678645,
31714,STANDARD,ASHBURN,GA,PRIMARY,31.70,-83.65,Ashburn,66566808,
39815,STANDARD,ATTAPULGUS,GA,PRIMARY,30.74,-84.47,Attapulgus,16962763,
30901,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,108958212,
30903,PO BOX,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,10546066,
30904,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,291695937,
30905,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,59145112,
30906,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,583218642,
30907,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,1003729909,
30909,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,644690925,
30912,STANDARD,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,,
30914,PO BOX,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,7884421,
30916,PO BOX,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,18656855,
30917,PO BOX,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,10806477,
30919,PO BOX,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,12040274,
30999,UNIQUE,AUGUSTA,GA,PRIMARY,33.45,-81.99,Augusta,,
30803,STANDARD,AVERA,GA,PRIMARY,33.19,-82.52,Avera,8761447,
31624,STANDARD,AXSON,GA,PRIMARY,31.27,-82.73,Axson,11809567,
31716,STANDARD,BACONTON,GA,PRIMARY,31.37,-84.16,Baconton,34813093,
39817,STANDARD,BAINBRIDGE,GA,PRIMARY,30.90,-84.57,Bainbridge,99751869,
39818,PO BOX,BAINBRIDGE,GA,PRIMARY,30.70,-84.67,Bainbridge,22406204,"no NWS data, "
39819,STANDARD,BAINBRIDGE,GA,PRIMARY,30.80,-84.50,Bainbridge,113385563,
31625,STANDARD,BARNEY,GA,PRIMARY,31.00,-83.51,Barney,12142370,
30413,STANDARD,BARTOW,GA,PRIMARY,32.88,-82.47,Bartow,19137594,
31720,PO BOX,BARWICK,GA,PRIMARY,30.89,-83.73,Barwick,,
31513,STANDARD,BAXLEY,GA,PRIMARY,31.76,-82.35,Baxley,158963956,
31515,PO BOX,BAXLEY,GA,PRIMARY,31.76,-82.35,Baxley,18788099,
31722,PO BOX,BERLIN,GA,PRIMARY,31.06,-83.62,Berlin,,
31516,STANDARD,BLACKSHEAR,GA,PRIMARY,31.29,-82.24,Blackshear,177048069,
39823,STANDARD,BLAKELY,GA,PRIMARY,31.33,-84.94,Blakely,95142960,
31302,STANDARD,BLOOMINGDALE,GA,PRIMARY,32.11,-81.30,Bloomingdale,119445386,
39824,STANDARD,BLUFFTON,GA,PRIMARY,31.55,-84.86,Bluffton,,
30805,STANDARD,BLYTHE,GA,PRIMARY,33.29,-82.19,Blythe,30315976,
31004,PO BOX,BOLINGBROKE,GA,PRIMARY,32.95,-83.81,Bolingbroke,,
31005,STANDARD,BONAIRE,GA,PRIMARY,32.50,-83.56,Bonaire,298618528,
30806,PO BOX,BONEVILLE,GA,PRIMARY,33.42,-82.43,Boneville,,
31626,STANDARD,BOSTON,GA,PRIMARY,30.79,-83.79,Boston,37168397,
31801,STANDARD,BOX SPRINGS,GA,PRIMARY,32.58,-84.61,Box Springs,35854863,
39825,STANDARD,BRINSON,GA,PRIMARY,30.94,-84.71,Brinson,14589089,
31518,STANDARD,BRISTOL,GA,PRIMARY,31.44,-82.21,Bristol,8138545,
39826,STANDARD,BRONWOOD,GA,PRIMARY,31.82,-84.32,Bronwood,7549480,
31727,PO BOX,BROOKFIELD,GA,PRIMARY,31.41,-83.39,Brookfield,,
30415,STANDARD,BROOKLET,GA,PRIMARY,32.38,-81.66,Brooklet,97149078,
31519,STANDARD,BROXTON,GA,PRIMARY,31.62,-82.88,Broxton,39651357,
31520,STANDARD,BRUNSWICK,GA,PRIMARY,31.15,-81.48,Brunswick,196607147,
31521,PO BOX,BRUNSWICK,GA,PRIMARY,31.14,-81.49,Brunswick,18755199,
31522,STANDARD,SAINT SIMONS ISLAND,GA,PRIMARY,31.21,-81.37,Saint Simons Island,330876029,
31523,STANDARD,BRUNSWICK,GA,PRIMARY,31.21,-81.64,Brunswick,226099291,
31524,UNIQUE,BRUNSWICK,GA,PRIMARY,31.14,-81.49,Brunswick,,
31525,STANDARD,BRUNSWICK,GA,PRIMARY,31.32,-81.53,Brunswick,394845464,
