title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,1361 Hartford Ave SW,33.717728,-84.417374,Atlanta,GA,30310,"$325,000 ",4,3,"1,498",RE/MAX Greater Atlanta - Cobb,https://www.zillow.com/homedetails/1361-Hartford-Ave-SW-Atlanta-GA-30310/35830562_zpid/
House For Sale,954 Byron Dr SW,33.712549,-84.419407,Atlanta,GA,30310,"$155,900 ",3,1,"1,505",EXP Realty LLC,https://www.zillow.com/homedetails/954-Byron-Dr-SW-Atlanta-GA-30310/35836926_zpid/
House For Sale,1003 Byron Dr SW,33.713078,-84.421395,Atlanta,GA,30310,"$314,900 ",4,2,"1,586",BHGRE Metro Brokers,https://www.zillow.com/homedetails/1003-Byron-Dr-SW-Atlanta-GA-30310/35836902_zpid/
House For Sale,1619 Sylvan Rd SW,33.710668,-84.418493,Atlanta,GA,30310,"$249,000 ",4,2,"1,821",Atlanta Communities,https://www.zillow.com/homedetails/1619-Sylvan-Rd-SW-Atlanta-GA-30310/35837069_zpid/
For Sale by Owner,1733 Sylvan Rd SW,33.707521,-84.418526,Atlanta,GA,30310,"$199,000 ",2,1,"1,054",,https://www.zillow.com/homedetails/1733-Sylvan-Rd-SW-Atlanta-GA-30310/35837276_zpid/
House For Sale,944 Dill Ave SW,33.717968,-84.419057,Atlanta,GA,30310,"$330,000 ",4,3,"1,824","Atlanta  - WEICHERT, REALTORS  - Prestige Partners",https://www.zillow.com/homedetails/944-Dill-Ave-SW-Atlanta-GA-30310/35836294_zpid/
House For Sale,712 Catherine St SW,33.725675,-84.410857,Atlanta,GA,30310,"$318,000 ",3,2,"1,076",,https://www.zillow.com/homedetails/712-Catherine-St-SW-Atlanta-GA-30310/35831336_zpid/
House For Sale,1365 Avon Ave SW,33.722667,-84.432662,Atlanta,GA,30310,"$175,900 ",3,2,"1,258",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/1365-Avon-Ave-SW-Atlanta-GA-30310/35841777_zpid/
House For Sale,1088 Cordova St SW,33.727837,-84.425584,Atlanta,GA,30310,"$114,951 ",4,2,"1,226",VIRTUAL PROPERTIES REALTY BIZ,https://www.zillow.com/homedetails/1088-Cordova-St-SW-Atlanta-GA-30310/35835989_zpid/
House For Sale,1061 Peeples St SW,33.726251,-84.424261,Atlanta,GA,30310,"$80,000 ",3,1,"1,274",,https://www.zillow.com/homedetails/1061-Peeples-St-SW-Atlanta-GA-30310/35835962_zpid/
House For Sale,1927 S Gordon St SW,33.733982,-84.44782,Atlanta,GA,30310,"$195,000 ",3,1,"1,282",,https://www.zillow.com/homedetails/1927-S-Gordon-St-SW-Atlanta-GA-30310/35855111_zpid/
House For Sale,1666 Rogers Ave SW,33.736993,-84.442181,Atlanta,GA,30310,"$259,000 ",3,2,"2,268",EXP Realty LLC,https://www.zillow.com/homedetails/1666-Rogers-Ave-SW-Atlanta-GA-30310/35847300_zpid/
House For Sale,1375 Elizabeth Ave SW,33.716782,-84.435861,Atlanta,GA,30310,"$74,890 ",2,1,900,VIRTUAL PROPERTIES REALTY BIZ,https://www.zillow.com/homedetails/1375-Elizabeth-Ave-SW-Atlanta-GA-30310/35841061_zpid/
Auction,935 White St SW,33.732557,-84.418399,Atlanta,GA,30310,"$222,000 ",4,2,"1,920",,https://www.zillow.com/homedetails/935-White-St-SW-Atlanta-GA-30310/35835710_zpid/
House For Sale,966 Gaston St SW,33.728848,-84.436045,Atlanta,GA,30310,"$294,900 ",3,3,"1,331",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/966-Gaston-St-SW-Atlanta-GA-30310/35841407_zpid/
House For Sale,500 Stephens St SW,33.734403,-84.404218,Atlanta,GA,30310,"$49,000 ",1,1,624,,https://www.zillow.com/homedetails/500-Stephens-St-SW-Atlanta-GA-30310/35890285_zpid/
House For Sale,1164 Sells Ave SW,33.7449,-84.425737,Atlanta,GA,30310,"$299,000 ",4,2,"1,116","Keller Knapp, Inc",https://www.zillow.com/homedetails/1164-Sells-Ave-SW-Atlanta-GA-30310/35835188_zpid/
House For Sale,377 Lawton St SW,33.744728,-84.423634,Atlanta,GA,30310,"$220,000 ",3,3,"1,480",,https://www.zillow.com/homedetails/377-Lawton-St-SW-Atlanta-GA-30310/69343546_zpid/
House For Sale,947 Smith St SW,33.729012,-84.401027,Atlanta,GA,30310,"$50,000 ",1,1,662,,https://www.zillow.com/homedetails/947-Smith-St-SW-Atlanta-GA-30310/35890652_zpid/
House For Sale,1816 Sylvan Rd SW,33.705317,-84.417894,Atlanta,GA,30310,"$159,000 ",4,1,"1,132",Coldwell Banker Residential Brokerage - Intown,https://www.zillow.com/homedetails/1816-Sylvan-Rd-SW-Atlanta-GA-30310/35829585_zpid/
Condo For Sale,1285 Epworth St SW,33.719981,-84.431232,Atlanta,GA,30310,"$220,000 ",3,1,959,"Opulent Real Estate Services, LLC",https://www.zillow.com/homedetails/1285-Epworth-St-SW-Atlanta-GA-30310/35840949_zpid/
House For Sale,518 E Ontario Ave SW,33.741034,-84.437932,Atlanta,GA,30310,"$375,000 ",3,4,"2,631",Knock Homes LLC,https://www.zillow.com/homedetails/518-E-Ontario-Ave-SW-Atlanta-GA-30310/35846997_zpid/
House For Sale,990 Donnelly Ave SW,33.728626,-84.420389,Atlanta,GA,30310,"$99,000 ",3,1,"1,176",Bo Bridgeport Brokers Inc.,https://www.zillow.com/homedetails/990-Donnelly-Ave-SW-Atlanta-GA-30310/35835996_zpid/
For Sale by Owner,1065 Peeples St SW,33.726189,-84.424452,Atlanta,GA,30310,"$75,000 ",3,1,"1,518",,https://www.zillow.com/homedetails/1065-Peeples-St-SW-Atlanta-GA-30310/35835963_zpid/
House For Sale,1166 Garibaldi St SW,33.722949,-84.399022,Atlanta,GA,30310,"$179,000 ",3,1,"1,144",,https://www.zillow.com/homedetails/1166-Garibaldi-St-SW-Atlanta-GA-30310/35891182_zpid/
House For Sale,1177 Oak St SW,33.74111,-84.426314,Atlanta,GA,30310,"$425,000 ",4,3,"2,181",,https://www.zillow.com/homedetails/1177-Oak-St-SW-Atlanta-GA-30310/35835257_zpid/
House For Sale,751 Cascade Pl SW,33.734795,-84.435609,Atlanta,GA,30310,"$325,000 ",4,3,"1,922",Maximum One Realty Greater Atl,https://www.zillow.com/homedetails/751-Cascade-Pl-SW-Atlanta-GA-30310/35842180_zpid/
House For Sale,751 Cascade Ave SW,33.734866,-84.437068,Atlanta,GA,30310,"$325,000 ",4,3,"1,992",MAXIMUM ONE REALTY GREATER ATL,https://www.zillow.com/homedetails/751-Cascade-Ave-SW-Atlanta-GA-30310/35847555_zpid/
House For Sale,1240 Oakland Ter SW,33.720526,-84.428581,Atlanta,GA,30310,"$85,000 ",1,1,736,Atlanta Intown Dwellings Inc,https://www.zillow.com/homedetails/1240-Oakland-Ter-SW-Atlanta-GA-30310/35840991_zpid/
House For Sale,1095 Sims St SW,33.724857,-84.403466,Atlanta,GA,30310,"$50,000 ",2,2,"1,180",EXP Realty LLC,https://www.zillow.com/homedetails/1095-Sims-St-SW-Atlanta-GA-30310/35890968_zpid/
House For Sale,1611 Belmont Ave SW,33.711015,-84.410237,Atlanta,GA,30310,"$169,900 ",3,1,"1,299",PalmerHouse Properties,https://www.zillow.com/homedetails/1611-Belmont-Ave-SW-Atlanta-GA-30310/35829979_zpid/
