address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
3777 Peachtree Rd #1132,33.856901,-84.348353,Brookhaven,GA,30319,252000,217,2,2,1160,https://www.zillow.com/homedetails/3777-Peachtree-Rd-1132-Brookhaven-GA-30319/2091828517_zpid/
1 Biscayne Dr NW UNIT 503,33.815546,-84.392716,ATLANTA,GA,30309,249000,207,2,2,1200,https://www.zillow.com/homedetails/1-Biscayne-Dr-NW-UNIT-503-Atlanta-GA-30309/35900743_zpid/
1 Biscayne Dr NW UNIT 709,33.815546,-84.392716,ATLANTA,GA,30309,164000,200,1,1,820,https://www.zillow.com/homedetails/1-Biscayne-Dr-NW-UNIT-709-Atlanta-GA-30309/35900773_zpid/
1 Dr NW # 102,33.7958,-84.3877,Atlanta,GA,30309,162000,180,1,1,900,https://www.zillow.com/homedetails/1-Dr-NW-102-Atlanta-GA-30309/35900694_zpid/
1 Dr NW # 106,33.7958,-84.3877,Atlanta,GA,30309,147000,196,1,1,750,https://www.zillow.com/homedetails/1-Dr-NW-106-Atlanta-GA-30309/35900698_zpid/
1 Dr NW SUITE 104,33.7958,-84.3877,Atlanta,GA,30309,157000,209,1,1,750,https://www.zillow.com/homedetails/1-Dr-NW-SUITE-104-Atlanta-GA-30309/35900696_zpid/
1 Dr NW SUITE 204,33.7958,-84.3877,Atlanta,GA,30309,173000,230,1,1,749,https://www.zillow.com/homedetails/1-Dr-NW-SUITE-204-Atlanta-GA-30309/35900708_zpid/
1 Habersham Way NW,33.836559,-84.391441,ATLANTA,GA,30305,778000,148,4,6,5234,https://www.zillow.com/homedetails/1-Habersham-Way-NW-Atlanta-GA-30305/35901983_zpid/
1 Queen Victoria Pl NE,33.870052,-84.383838,ATLANTA,GA,30342,327500,303,2,3,1080,https://www.zillow.com/homedetails/1-Queen-Victoria-Pl-NE-Atlanta-GA-30342/35941953_zpid/
10 Battle Ridge Dr,33.890222,-84.361106,SANDY SPRINGS,GA,30342,480000,128,5,4,3742,https://www.zillow.com/homedetails/10-Battle-Ridge-Dr-Sandy-Springs-GA-30342/35927015_zpid/
10 Carlton Dr NE,33.872605,-84.387157,ATLANTA,GA,30342,678000,298,4,2,2268,https://www.zillow.com/homedetails/10-Carlton-Dr-NE-Atlanta-GA-30342/35941811_zpid/
10 Johnson Rd NW,33.780448,-84.454742,ATLANTA,GA,30318,76000,59,3,1,1283,https://www.zillow.com/homedetails/10-Johnson-Rd-NW-Atlanta-GA-30318/35921157_zpid/
10 Normandy Ct NE,33.830919,-84.354514,ATLANTA,GA,30324,243000,156,3,2,1550,https://www.zillow.com/homedetails/10-Normandy-Ct-NE-Atlanta-GA-30324/35935669_zpid/
10 Peachtree Battle Ave NW,33.819534,-84.390805,ATLANTA,GA,30305,975000,307,4,4,3170,https://www.zillow.com/homedetails/10-Peachtree-Battle-Ave-NW-Atlanta-GA-30305/35900569_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,235000,233,2,2,1008,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70833589_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,235000,199,2,2,1179,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70829015_zpid/
10 Perimeter Summit Blvd NE,33.914393,-84.339774,Atlanta,GA,30319,233000,197,2,2,1179,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70837071_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,232000,215,2,2,1079,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70829117_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,231000,216,2,2,1069,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70833725_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,229000,212,2,2,1080,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70835728_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,226000,209,2,2,1079,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70829673_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,226000,209,2,2,1079,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70830243_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,187000,196,2,1,952,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70836831_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,185000,194,1,1,952,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70839963_zpid/
10 Perimeter Summit Blvd NE,33.914105,-84.340942,Atlanta,GA,30319,185000,194,2,1,952,https://www.zillow.com/homedetails/10-Perimeter-Summit-Blvd-NE-Atlanta-GA-30319/70829277_zpid/
